Title,Video Link,Total_Comments,Helpful_Comments,Helpful_Percentage,Comments_of_User
How I&#39;d Learn Data Analytics in 2024 (If I Had to Start Over),https://www.youtube.com/watch?v=f3FnCoKWmBg,10,10.0,100.0,1. great tip throughout video curious others manage keep resume current learning new tool skill good resource | 2. great tip throughout video curious others manage keep resume current learning new tool skill good resource | 3. really excited start journey data analytics watching wonder tool like resubot help streamline resume process gain new skill
My *honest* advice to any aspiring Data Analyst | Why you can&#39;t get a job,https://www.youtube.com/watch?v=MQJJplvqEsU,5,5.0,100.0,1. hey rohan thank much showing true picture tech industry time medium house many youtubers glamourising data industry much easy break depicted really well work home culture sometimes take mental toll n obviously go far career enjoy work thnak also learning job role data analyst | 2. good content thank spending hour | 3. thank rohan
Is Data Analytics Really That Hard? Tips for Rising to the Challenge,https://www.youtube.com/watch?v=BVGNe2VQ3U8,1,1.0,100.0,1. really love way video break data analytics true taking one step time getting hand practice make learning process much easier
Data Science Full Course - 12 Hours | Data Science For Beginners | Data Science Tutorial | Edureka,https://www.youtube.com/watch?v=xiEC5oFsq2s,10,10.0,100.0,1. thanks edureka great course provide note course | 2. thanks edureka great course provide note course | 3. useful provide pdf note follow
Is The Google Data Analytics Certification Worth It? || FULL review,https://www.youtube.com/watch?v=9s0jSNKqG0E,5,5.0,100.0,1. thank awesome review video yes great thing still also take another certification course includes python | 2. google certification please tell | 3. take course data analytics power bi visualization still feeling begginer since practiced anything beyond example class think safe going straight google advanced data analytics course
"Is data analyst a good career in 2024? | salary, AI, day in the life",https://www.youtube.com/watch?v=XHYfi5hQC3E,5,5.0,100.0,1. amazing video simple breakdown im upskilling agile project management data analytics really helpful thank addressing elephant room ai want start learning ml data science keep covered data analytics skill first | 2. thanks much thoughtful comment feel free connect instagram newsletter free resume template link | 3. dancer artist getting dance analytics feel super foreign getting new career tech thanks providing insight role day day
Is the Google Data Analytics Certificate WORTH IT??????,https://www.youtube.com/watch?v=GzQgT8yHXbo,10,10.0,100.0,1. found video really appreciate input would create whole course data analytics newbees | 2. found video really appreciate input would create whole course data analytics newbees | 3. thank honesty wish seen video prior paying year class
Data Analytics for Beginners | Data Analytics Training | Data Analytics Course | Intellipaat,https://www.youtube.com/watch?v=d73vYX8gsuQ,5,5.0,100.0,1. thanks much | 2. software good | 3. use
Josh Angrist: What&#39;s the Difference Between Econometrics and Data Science?,https://www.youtube.com/watch?v=2EhRT2mOXm8,5,5.0,100.0,1. interesting better sound background nois please | 2. good person let check see ever stolen even something really small worth much ever lied ever looked lust ever taken lord name vain ever hated someone youve ever done thing would either liar thief adulterer looking lust see matthew blasphemer taking god name vain murderer hating someone see john maybe even ten commandment therefore god standard high bible even say weve broken one law guilty breaking james sinned god therefore deserve death roman thats savior ssent jesus christ die sin world rose rd day sacrifice paid fine sin made atonement sin world made new accepting gift salvation order accept gift must first repent change mind sin embrace sin rejection sin turning god repent turn faith trust savior person truly repented sin trust christ give evidence changed life therefore result salvation youll produce good work fruit salvation reading word act kindness readiness help serve give oneself fruit spirit etc arent saved good work produce good work saved | 3. love joshua angrist reason
Learn SQL for Data Analysis in one hour (with sample dataset + 50 queries),https://www.youtube.com/watch?v=l8DCPaHc5TQ,5,5.0,100.0,1. thank | 2. thanks | 3. thank great work chandoo
Master Data Analysis on Excel in Just 10 Minutes,https://www.youtube.com/watch?v=_g5roKHj95o,5,5.0,100.0,1. video style speaks point hit important topic thank | 2. geography option excel | 3. sign enroll day free trial coursera
Mathematics of Data Science - Data Science is Everywhere,https://www.youtube.com/watch?v=iaWvDXYg67c,6,6.0,100.0,1. important | 2. important | 3. awesome
Python for Data Analytics - Full Course for Beginners,https://www.youtube.com/watch?v=wUSDVGivd-8,5,5.0,100.0,1. highly appreciated one best free contribution learner | 2. hey luke thanks wonderful course python cover necessary aspect python data analysis wondering plan creating similar course concept like statistic hypothesis regression model building basic using python would worth learn concept | 3. starting data analyst journey today
Introduction to Data Analysis with Excel: 2-Hour Training Tutorial,https://www.youtube.com/watch?v=kghcAk7l6eA,10,10.0,100.0,1. thank tutorial greatly imparted exposure excellent use excel solve problem | 2. thank tutorial greatly imparted exposure excellent use excel solve problem | 3. excellent tool able help close gap knowledge
Data Analyst vs Business Analyst,https://www.youtube.com/watch?v=-DwpkgtJjGw,10,10.0,100.0,1. thanks alex best | 2. thanks alex best | 3. im currently business analyst use lot excel pull report tableau work internal team director request report send sale team would like data analyst within company currently work get paid tip im contractor taken data analytics bootcamp
Freelance Jobs in Data Science ft.@ShashankData,https://www.youtube.com/watch?v=9Ql_Lr7nQN4,5,5.0,100.0,1. data analytics channel trust thanks | 2. thanks luke | 3. ok start freelancing work without establishing llc
