Video ID,Title,Views,Likes,Comments,Channel Title,Channel Subscribers,Video Category,Duration,Publish Date,Comment Author,Comment Text,Video Link
RBSUwFGa6Fk,What is Data Science?,629551,14040,265,IBM Technology,1040000,Education,0:07:51,2022-06-13T12:00:14.000Z,@AbdulhadiKassas,👍🏻,https://www.youtube.com/watch?v=RBSUwFGa6Fk
RBSUwFGa6Fk,What is Data Science?,629551,14040,265,IBM Technology,1040000,Education,0:07:51,2022-06-13T12:00:14.000Z,@Just_iain,"First of all. Thanks for making it really clear, this is the only video that’s actually helped me understand without getting confused.

Secondly, I’m screwed…",https://www.youtube.com/watch?v=RBSUwFGa6Fk
RBSUwFGa6Fk,What is Data Science?,629551,14040,265,IBM Technology,1040000,Education,0:07:51,2022-06-13T12:00:14.000Z,@AshenVictor-r5u,👍,https://www.youtube.com/watch?v=RBSUwFGa6Fk
RBSUwFGa6Fk,What is Data Science?,629551,14040,265,IBM Technology,1040000,Education,0:07:51,2022-06-13T12:00:14.000Z,@nithinganesh921,"This is exactly what I was looking for !!!!
You have clearly explained about descriptive, diagnostic, predictive & prescriptive analysis. 
And additionally, your explanation regarding the responsibilities of Business Analysts, Data Engineers & Data Scientists were crystal clear.
Thank you so much for this video.",https://www.youtube.com/watch?v=RBSUwFGa6Fk
RBSUwFGa6Fk,What is Data Science?,629551,14040,265,IBM Technology,1040000,Education,0:07:51,2022-06-13T12:00:14.000Z,@KarnaNatarajan,This provided a very clear explanation of the topic. Thanks,https://www.youtube.com/watch?v=RBSUwFGa6Fk
JIbfzmt2LuY,How to learn Data Science? In Short,807466,63194,233,Apna College,6400000,Education,0:00:47,2023-10-19T15:41:19.000Z,@MahNoor-ku5qh,Is she software engineer???,https://www.youtube.com/watch?v=JIbfzmt2LuY
JIbfzmt2LuY,How to learn Data Science? In Short,807466,63194,233,Apna College,6400000,Education,0:00:47,2023-10-19T15:41:19.000Z,@codecraftmanisha_official,Pls suggest me resources to learn stats and maths for Data science,https://www.youtube.com/watch?v=JIbfzmt2LuY
JIbfzmt2LuY,How to learn Data Science? In Short,807466,63194,233,Apna College,6400000,Education,0:00:47,2023-10-19T15:41:19.000Z,@dreamrise01,Any one looking data science to contact me,https://www.youtube.com/watch?v=JIbfzmt2LuY
JIbfzmt2LuY,How to learn Data Science? In Short,807466,63194,233,Apna College,6400000,Education,0:00:47,2023-10-19T15:41:19.000Z,@krishnabharadwaj3947,Can commerce graduate learn this,https://www.youtube.com/watch?v=JIbfzmt2LuY
JIbfzmt2LuY,How to learn Data Science? In Short,807466,63194,233,Apna College,6400000,Education,0:00:47,2023-10-19T15:41:19.000Z,@luckytemre-g4y,😮,https://www.youtube.com/watch?v=JIbfzmt2LuY
dcXqhMqhZUo,Data Analytics vs Data Science,596605,12365,217,IBM Technology,1040000,Education,0:06:30,2023-11-08T12:00:38.000Z,@Zones33,Data analytics/science and GIS are now all the rage. Bye-bye computer science and software engineering.,https://www.youtube.com/watch?v=dcXqhMqhZUo
dcXqhMqhZUo,Data Analytics vs Data Science,596605,12365,217,IBM Technology,1040000,Education,0:06:30,2023-11-08T12:00:38.000Z,@ahmedazeem7566,Which is best for MBA finance students to study please  ?,https://www.youtube.com/watch?v=dcXqhMqhZUo
dcXqhMqhZUo,Data Analytics vs Data Science,596605,12365,217,IBM Technology,1040000,Education,0:06:30,2023-11-08T12:00:38.000Z,@Mirko-Peters,"ked, 'What’s the difference between data science and data analytics?' I remember when I started my career, even I wasn’t entirely clear about the distinction. Back then, I thought both were just fancy terms for working with data, but I quickly realized how different the roles are and how much each contributes uniquely to solving problems.

This video is such a fantastic breakdown of these two disciplines. I loved how it highlighted that data analytics focuses on finding insights and answering specific questions, while data science is about building models and uncovering patterns for predictive insights. It’s a nuanced distinction that can be confusing, especially for newcomers, but this explanation really hit the mark.

For me, it was during my first project in data science that the difference truly clicked. I was building a machine learning model to predict customer churn while my colleague, an analyst, was digging into the historical data to understand why churn was happening in the first place. Both tasks were critical, but they required completely different approaches, tools, and ways of thinking. This kind of collaboration is what makes the data world so fascinating to me.

To anyone watching this video and trying to decide between these paths: think about whether you enjoy diving deep into datasets to find actionable insights (data analytics) or if you’d rather experiment with algorithms, code, and predictive models (data science). Either way, both fields are incredibly rewarding, and videos like this are great for helping you find your direction.",https://www.youtube.com/watch?v=dcXqhMqhZUo
dcXqhMqhZUo,Data Analytics vs Data Science,596605,12365,217,IBM Technology,1040000,Education,0:06:30,2023-11-08T12:00:38.000Z,@Shetshuke,I agree 100%! Data science is the umbrella term. This is often misrepresented. Very good video!,https://www.youtube.com/watch?v=dcXqhMqhZUo
dcXqhMqhZUo,Data Analytics vs Data Science,596605,12365,217,IBM Technology,1040000,Education,0:06:30,2023-11-08T12:00:38.000Z,@supankanlavanathan463,"- [00:00:00] 📊 Data Science vs Data Analytics

  - Data science and data analytics are often confused but serve different purposes.
  - Data science encompasses tasks like data mining, machine learning model training, and AI deployment.
  - Data analytics is a specialized field within data science focusing on querying, interpreting, and visualizing datasets.

- [00:01:47] 🔄 Data Science Lifecycle

  - The data science lifecycle consists of seven phases: problem identification, data mining, data cleaning, data exploration analysis, feature engineering, predictive modeling, and data visualization.
  - It's an iterative process where hypotheses are formed and tested with data.
  - Essential skills for data scientists include proficiency in Python, R, big data platforms (like Hadoop or Apache Spark), and SQL.

- [00:03:30] 📈 Types of Data Analytics

  - Data analytics involves various types: predictive, prescriptive, diagnostic, and descriptive analytics.
  - Predictive analytics forecasts trends and outcomes, while prescriptive analytics provides decision recommendations.
  - Diagnostic analytics identifies causes of events, and descriptive analytics evaluates data qualities and quantities.

- [00:05:16] 🧮 Skills for Data Analysts

  - Data analysts focus on interpreting existing data to derive actionable insights.
  - Skills required include analytical thinking, programming (especially in statistical tools), database familiarity, and data visualization.
  - Unlike data scientists, data analysts are less involved in creating new algorithms but rather in interpreting and applying data findings effectively.",https://www.youtube.com/watch?v=dcXqhMqhZUo
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,4328023,61209,1109,Simplilearn,4840000,Education,0:04:38,2018-12-04T14:30:01.000Z,@SimplilearnOfficial,"""🔥Data Scientist Masters Program (Discount Code - YTBE15) - https://www.simplilearn.com/big-data-and-analytics/senior-data-scientist-masters-program-training?utm_campaign=X3paOmcrTjQ&utm_medium=Comments&utm_source=Youtube
🔥IITK - Professional Certificate Course in Data Science (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=X3paOmcrTjQ&utm_medium=Comments&utm_source=Youtube
🔥Caltech Post Graduate Program in Data Science  - https://www.simplilearn.com/post-graduate-program-data-science?utm_campaign=X3paOmcrTjQ&utm_medium=Comments&utm_source=Youtube
🔥Brown University - Applied AI & Data Science  - https://www.simplilearn.com/applied-ai-data-science-course?utm_campaign=X3paOmcrTjQ&utm_medium=Comments&utm_source=Youtube""",https://www.youtube.com/watch?v=X3paOmcrTjQ
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,4328023,61209,1109,Simplilearn,4840000,Education,0:04:38,2018-12-04T14:30:01.000Z,@serenaygoler6510,The video is so helpful and supportive. Thank you so much,https://www.youtube.com/watch?v=X3paOmcrTjQ
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,4328023,61209,1109,Simplilearn,4840000,Education,0:04:38,2018-12-04T14:30:01.000Z,@muskanrath7125,I have one more query - why is feature engineering being taken under exploratory data analysis phase? This is a different phase altogether.,https://www.youtube.com/watch?v=X3paOmcrTjQ
X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,4328023,61209,1109,Simplilearn,4840000,Education,0:04:38,2018-12-04T14:30:01.000Z,@SomasundaramS-gl5gz,Can data science help in medical field,https://www.youtube.com/watch?v=X3paOmcrTjQ
